Business Name	Business Established	Residential	Building Name 	House Number	Address	City	Business Type	Local Agent	Phone Number	Telegraph Address																			
"Mrs. Rose Lightfoot, M.I.S.Ch."			Amicable House	252	Union St	Aberdeen	Chiropodist		5795																				
"""Ardente"" (R. H. Dent)"			Amicable House	252	Union St	Aberdeen	"""for Deaf Ears"""		4534																				
"Roderick Tweedie, Ltd."			Amicable House	252	Union St	Aberdeen	Sports outerwear specialists																						
George Sim & Co.			Amicable House	252	Union St	Aberdeen	Furrier (manufacturing)		3914																				
"E. R. Lumsden, M.A."			Amicable House	252	Union St	Aberdeen	Advocate 		1950																				
"The Amicable Building Co., Ltd"			Amicable House	252	Union St	Aberdeen			6000	"""Amicable, Aberdeen"""																			
Modern Homes (Abdn.) Ltd.			Amicable House	252	Union St	Aberdeen			6000	"""Amicable, Aberdeen"""																			
"T. Scott Sutherland, F.R.I.B.A."			Amicable House	252	Union St	Aberdeen	Chartered architect and surveyor		6000	"""Amicable, Aberdeen"""																			
Scottish Amicable Building Soc.			Amicable House	252	Union St	Aberdeen		"branch manager, T. Scott Sutherland"																					
Scottish Union and National Insurance Co.				248	Union St	Aberdeen		"resident secretary, Robert Aitken"	516																				
"Chas. W. Gall, M.A., L.L.B"				248	Union St	Aberdeen	Solicitor																						
Alex. Aitken & Sons				248	Union St	Aberdeen	"Painters, glaziers and decorators"		806																				
John C. Deane				248	Union St	Aberdeen	"Accountant, house agent, and debt recovery agent"		593																				
Abbot & Co. 				248	Union St	Aberdeen	Estate agents and valuers		6819																				
"Andrew McRobb, Ltd."				240	Union St	Aberdeen	"Plumbers, gasfitters, electrical and sanitary engineers"		2413																				
J. & A. Davidson				238	Union St	Aberdeen	"Coal merchants, steamship owners, and ship and insurance brokers"		2873																				
Clydesdale Bank Ltd.			Clydesdale Bank Buildings	232	Union St	Aberdeen		"agent, Alex W. Howitt"	2451																				
Stewart & Murray			Clydesdale Bank Buildings	232a	Union St	Aberdeen	Advocates and notaries public		117	"""Signum, Aberdeen"""																			
"T. P. E. Murray, M.A., L.L.B."			Clydesdale Bank Buildings	232a	Union St	Aberdeen	Advocate (of Stewart & Murray)		117																				
Deeside District Council of the County			Clydesdale Bank Buildings	232a	Union St	Aberdeen		"clerk and treas., John Murray, J.P"																					
Aberdeen and District Horse Shoers' and Agricultural Blacksmiths' Association 			Clydesdale Bank Buildings	232a	Union St	Aberdeen		"secretary and treasurer, T. P. E. Murray "																					
"The Royal London Mutual Insurance, Ltd."			Clydesdale Bank Buildings	232a	Union St	Aberdeen																							
Roadways Transport Development Ltd.			Clydesdale Bank Buildings	232a	Union St	Aberdeen		"branch manager, Alan T. M. Stephen "	5224																				
Alliance Assurance Co. Ltd.				230	Union St	Aberdeen		" local manager, Wm. D. Nicholson"	2483	"""Societate, Aberdeen"""																			
Offices of the Royal Infirmary and Mental Hospital				230	Union St	Aberdeen																							
South Aberdeen Unionist Association				230	Union St	Aberdeen		"secretary, J. Cranna"	4261																				
Aberdeen Joint Hospital Steam Heating & Laundry Co.				230	Union St	Aberdeen 		"secretary, John A. McConachie"	7071																				
N. of S. Bank Ltd (West-End branch)				226	Union St	Aberdeen		"agent, James F. Cooper"																					
"Norwich Union Insce. Soc., Ltd."				224	Union St	Aberdeen			23																				
Norwich Union Life Insce. Soc..				224	Union St	Aberdeen		"Alex. S. Anderson, M.B.E."	23																				
Hunter & Gordon				222	Union St	Aberdeen	Advocates		4755 & 4756																				
Wm. Mackay				222	Union St	Aberdeen	Advocate of Hunter & Gordon																						
Jas. Johnstone				222	Union St	Aberdeen	Advocate of Hunter & Gordon																						
Aberdeen Fish Trade Association				222	Union St	Aberdeen		secretary W. Davidson	2567																				
"British Law Insurance Co., Ltd.."				222	Union St	Aberdeen		"British Law Insurance Co., Ltd; dist. secretary, Jas. H. McRobert, A.C.I.I."																					
"General Accident, Fire and Life Assce. Corporation Ltd.; branch manager, S. Hutcheson"			General Assurance Chambers	220	Union St	Aberdeen		"General Accident, Fire and Life Assce. Corporation Ltd.; branch manager, S. Hutcheson"	3270 & 3271																				
"The State Assurance Co., Ltd"			General Assurance Chambers	220	Union St	Aberdeen		"The State Assurance Co., Ltd"	346																				
"British Equitable Assurance Co., Ltd"			General Assurance Chambers	220	Union St	Aberdeen		"British Equitable Assurance Co., Ltd; district inspector, D. J. Morton"																					
G. H. Bower & Gibb			General Assurance Chambers	220	Union St	Aberdeen	Advocates	G. H. Bower & Gibb	802																				
G. & A. Horne			General Assurance Chambers	220	Union St	Aberdeen	Ladies' and gent.'s tailors	G. & A. Horne																					
Miss Isabel Forbes			General Assurance Chambers	220	Union St	Aberdeen	"Teacher of Spanish (and) translator of French, Italian, Portuguese, and Spanish"	Miss Isabel Forbes																					
Photo Art Club			General Assurance Chambers	220	Union St	Aberdeen		"Photo Art Club; secretary, William Duncan"																					
Geo. Cruickshank & Co.			General Assurance Chambers	220	Union St	Aberdeen	Insurance assessors	Geo. Cruickshank & Co.	5710																				
Warden Insurance Co. Ltd				218	Union St	Aberdeen		"Warden Insurance Co. Ltd; branch manager, R. Smith"	828																				
"The Standard Property Investment Co., Ltd"				218	Union St	Aberdeen		"The Standard Property Investment Co., Ltd"	2253																				
Scottish Equitable Life Assurance Society				218	Union St	Aberdeen		"Scottish Equitable Life Assurance Society; resident secretary, K. A. M. Duthie"	2253																				
"William Garden, Ltd"				216	Union St	Aberdeen	Gunsmiths and fishing tackle manufacturers	"William Garden, Ltd"	1050																				
George Watt & Stewart			Central Chambers	214	Union St	Aberdeen	Architects and valuators	George Watt & Stewart																					
Wm. Ross			Central Chambers	214	Union St	Aberdeen	Advocate	Wm. Ross	552																				
Employers' Liability Assurance Corporation Ltd			Central Chambers	214	Union St	Aberdeen		"Employers' Liability Assurance Corporation Ltd; resident inspector, W. S. Rannie"	4023																				
"Clerical, Medical and General Life Assurance Society"			Central Chambers	214	Union St	Aberdeen		"Clerical, Medical and General Life Assurance Society"	4023																				
Alec Fraser			Central Chambers	214	Union St	Aberdeen	Artist	Alec Fraser																					
Hugh F. Campbell			Central Chambers	214	Union St	Aberdeen	Advocate		568																				
Reith & Anderson Ltd			Central Chambers	214	Union St	Aberdeen	"Estate property, and sporting agents, surveyors, and valuers"		6720	"""Estates, Aberdeen"""																			
